mention	count	valid_range
207 at	2	SUSPECT
12966 clifton	2	YES
1605 riverside	2	YES
1593 newman	2	YES
220 we're	2	SUSPECT
1331 edwards	2	YES
1205 brockley	2	YES
1459 riverside	2	YES
365 moorwood	2	SUSPECT
2053 robin	2	YES
2160 arthur	2	YES
2023 lexus	2	YES
1423 owego	2	YES
2152 overbroke	2	YES
1386 clarence	2	YES
2021 subaru	2	YES
511 210	2	SUSPECT
17314 madison	2	YES
1416 elmwood	2	YES
448 medic	2	SUSPECT
1359 elber	2	YES
17017 madison	2	YES
305 to	2	SUSPECT
2021 atkins	2	YES
1479 hopkins	2	YES
2170 woodward	2	YES
2140 2140	2	YES
2213 lewis	2	YES
17836 cannon	2	YES
12981 clifton	2	YES
209 when	2	SUSPECT
20662 avalon	2	SUSPECT
1209 geale	2	YES
1518 elber	2	YES
1363 lakewood	2	YES
1196 frankfurt	2	YES
1458 ridgewood	2	YES
1251 hathaway	2	YES
1251 and	2	YES
121 copy	2	SUSPECT
2156 mckinley	2	YES
212 in	2	SUSPECT
2160 halsted	2	YES
17617 franklin	2	YES
1497 winston	2	YES
000 madison	2	SUSPECT
15613 detroit	2	YES
1177 gladys	2	YES
210 i'll	2	SUSPECT
16519 delaware	2	YES
830 beach	2	SUSPECT
1607 medic	2	YES
2168 brown	2	YES
913 of	2	SUSPECT
13321 madison	2	YES
414 of	2	SUSPECT
1553 mars	2	YES
1265 nicholson	2	YES
2171 2171	2	YES
2171 at	2	YES
127 50	2	SUSPECT
1230 hurd	2	YES
13410 emerson	2	YES
1256 edward	2	YES
212 your	2	SUSPECT
1300 athens	2	YES
15500 madison	2	YES
14414 detroit	2	YES
13616 madison	2	YES
1340 fry	2	YES
1463 rosewood	2	YES
17909 lake	2	YES
206 wascana	2	SUSPECT
2197 brown	2	YES
2065 lincoln	2	YES
14702 leonard's	2	YES
1620 alameda	2	YES
117 3	2	SUSPECT
213 27	2	SUSPECT
1371 nicholson	2	YES
237 713	2	SUSPECT
1670 mars	2	YES
1617 mars	2	YES
1617 marsh	2	YES
322 i	2	SUSPECT
191 710	2	SUSPECT
17504 lakewood	2	YES
1590 waterbury	2	YES
2179 carabel	2	YES
2092 larc	2	YES
1591 waterbury	2	YES
17323 archdale	2	YES
1424 elmwood	2	YES
2212 at	2	YES
16932 clifton	2	YES
1559 woodward	2	YES
15027 madison	2	YES
225 212	2	SUSPECT
1654 lauderdale	2	YES
14404 bays	2	YES
2105 carabel	2	YES
2183 bunts	2	YES
227 copy	2	SUSPECT
118 30	2	SUSPECT
1589 alameda	2	YES
176 under	2	SUSPECT
580 humestead	2	SUSPECT
1346 felt	2	YES
1529 belle	2	YES
12490 1249	2	YES
1415 clifton	2	YES
4861 detroit	2	SUSPECT
1251 geale	2	YES
1251 geel	2	YES
2021 dodge	2	YES
1546 belle	2	YES
11820 south	2	YES
1820 south	2	YES
2039 westbound	2	YES
1411 right	2	YES
1209 saint	2	YES
3130 black	2	SUSPECT
818 of	2	SUSPECT
200 blue	2	SUSPECT
3126 expire	2	SUSPECT
3315 detroit	2	SUSPECT
107 thank	2	SUSPECT
29357 robert	2	SUSPECT
1463 lewis	2	YES
1984 5	2	YES
1987 39	2	YES
8190 black	2	SUSPECT
110 8	2	SUSPECT
8108 with	2	SUSPECT
1541 medic	2	YES
1452 lakeland	2	YES
1986 05	2	YES
1042 disregard	2	YES
234 copy	2	SUSPECT
2019 red	2	YES
207 he	2	SUSPECT
2026 39	2	YES
14943 delaware	2	YES
14325 madison	2	YES
1983 42	2	YES
990 east	2	SUSPECT
2025 it	2	YES
1321 nicholson	2	YES
630 west	2	SUSPECT
11610 madison	2	SUSPECT
2025 to	2	YES
7800 detroit	2	SUSPECT
104 6	2	SUSPECT
8180 brown	2	SUSPECT
2028 copy	2	YES
503 the	2	SUSPECT
2029 waterbury	2	YES
180 9	2	SUSPECT
102 for	2	SUSPECT
102 medic	2	SUSPECT
13405 for	2	YES
1621 a	2	YES
1595 victoria	2	YES
225 if	2	SUSPECT
2026 tesla	2	YES
2020 42	2	YES
1391 beach	2	YES
2001 25	2	YES
11819 clifton	2	YES
1592 alameda	2	YES
104 there's	2	SUSPECT
291 franklin	2	SUSPECT
2001 6	2	YES
15116 clifton	2	YES
108 okay	2	SUSPECT
17117 edgewater	2	YES
1619 mars	2	YES
2026 27	2	YES
2007 toyota	2	YES
1612 westwood	2	YES
2168 bunts	2	YES
2228 bunts	2	YES
2025 volkswagen	2	YES
1357 elbur	2	YES
1428 alameda	2	YES
7540 madison	2	SUSPECT
104 her	2	SUSPECT
1265 brown	2	YES
9170 brown	2	SUSPECT
1550 medic	2	YES
2012 yeah	2	YES
6135 brown	2	SUSPECT
401 the	2	SUSPECT
1979 47	2	YES
15522 lakewood	2	YES
9190 brown	2	SUSPECT
116 by	2	SUSPECT
1624 on	2	YES
1984 05	2	YES
112 0	2	SUSPECT
2229 lewis	2	YES
261 or	2	SUSPECT
215 or	2	SUSPECT
000 in	2	SUSPECT
14312 are	2	YES
125 of	2	SUSPECT
225 open	2	SUSPECT
10415 new	2	SUSPECT
1445 wagar	2	YES
2011 kia	2	YES
104 comes	2	SUSPECT
2093 05	2	YES
104 he	2	SUSPECT
11809 south	2	YES
10411 you	2	SUSPECT
17512 freeze	2	YES
802 medic	2	SUSPECT
12520 apartment	2	YES
052 marlowe	2	SUSPECT
2052 marlowe	2	YES
16117 for	2	YES
2026 a	2	YES
2002 dodge	2	YES
2148 wyandotte	2	YES
301 69	2	SUSPECT
701 detroit	2	SUSPECT
1016 c's	2	YES
2012 we're	2	YES
2500 detroit	2	YES
108 if	2	SUSPECT
2216 clearance	2	YES
1627 lunch	2	YES
12401 detroit	2	YES
1130 brown	2	YES
2151 warren	2	YES
1193 warren	2	YES
1428 grace	2	YES
1255 hathaway	2	YES
17208 edgewater	2	YES
1016 if	2	YES
1422 grace	2	YES
2146 chesterland	2	YES
1509 and	2	YES
7150 brown	2	SUSPECT
12595 lake	2	YES
2002 chevy	2	YES
280 and	2	SUSPECT
1631 newmont	2	YES
104 she's	2	SUSPECT
15900 madison	2	YES
2009 pontiac	2	YES
2026 gray	2	YES
104 5	2	SUSPECT
2026 robin	2	YES
104 riverside	2	SUSPECT
2026 38	2	YES
2002 clearance	2	YES
292 17	2	SUSPECT
18616 for	2	YES
618 31	2	SUSPECT
104 confirm	2	SUSPECT
2224 woodward	2	YES
000 staging	2	SUSPECT
1598 lincoln	2	YES
1363 west	2	YES
1600 cordova	2	YES
1507 medic	2	YES
1010 for	2	YES
300 no	2	SUSPECT
2026 there's	2	YES
1322 marlowe	2	YES
2025 at	2	YES
2011 brown	2	YES
2008 silver	2	YES
204 madison	2	SUSPECT
1582 hopkins	2	YES
1648 cohassett	2	YES
8645 detroit	2	SUSPECT
204 10	2	SUSPECT
2033 waterbury	2	YES
868 clifton	2	SUSPECT
1441 wagar	2	YES
2027 53	2	YES
235 bed	2	SUSPECT
11849 11849	2	YES
246 d	2	SUSPECT
17420 17420	2	YES
17420 norton	2	YES
751 at	2	SUSPECT
411 you	2	SUSPECT
1800 edgewater	2	YES
10429 can	2	SUSPECT
2285 riverside	2	YES
305 is	2	SUSPECT
104 0	2	SUSPECT
18235 detroit	2	YES
12413 madison	2	YES
431 2	2	SUSPECT
108 they're	2	SUSPECT
14232 madison	2	YES
109 copy	2	SUSPECT
9117 to	2	SUSPECT
104 but	2	SUSPECT
2810 stop	2	SUSPECT
1040 thank	2	YES
2001 5	2	YES
100 black	2	SUSPECT
261 are	2	SUSPECT
2405 franklin	2	YES
104 sorry	2	SUSPECT
215 no	2	SUSPECT
1555 winchester	2	YES
11810 franklin	2	YES
4725 detroit	2	SUSPECT
2187 waterbury	2	YES
2019 clearance	2	YES
12006 clifton	2	YES
12315 detroit	2	YES
500 for	2	SUSPECT
2018 toyota	2	YES
104 your	2	SUSPECT
1480 lakewood	2	YES
1623 orchard	2	YES
26103 lorraine	2	SUSPECT
1821 detroit	2	YES
12529 clover	2	YES
2202 chesterland	2	YES
220 11	2	SUSPECT
1274 saint	2	YES
204 west	2	SUSPECT
2088 chesterland	2	YES
236 medic	2	SUSPECT
7625 detroit	2	SUSPECT
104 got	2	SUSPECT
1614 victoria	2	YES
109 b	2	SUSPECT
330 detroit	2	SUSPECT
04107 launch	2	SUSPECT
1670 woodward	2	YES
2026 62	2	YES
20600 detroit	2	SUSPECT
2067 waterbury	2	YES
117 western	2	SUSPECT
1449 alameda	2	YES
13419 harlan	2	YES
14710 detroit	2	YES
1684 arthur	2	YES
14918 clifton	2	YES
15520 detroit	2	YES
1994 05	2	YES
17009 madison	2	YES
17221 clifton	2	YES
1324 hurd	2	YES
104 when	2	SUSPECT
1563 northland	2	YES
2014 lexus	2	YES
142 b	2	SUSPECT
1989 36	2	YES
5409 edgewater	2	SUSPECT
179 copy	2	SUSPECT
143 0	2	SUSPECT
278 copy	2	SUSPECT
107 install	2	SUSPECT
105 3	2	SUSPECT
2200 at	2	YES
221 in	2	SUSPECT
2000 26	2	YES
2008 17	2	YES
17613 lakewood	2	YES
2100 richland	2	YES
6915 detroit	2	SUSPECT
8140 brown	2	SUSPECT
2012 volkswagen	2	YES
2009 clifton	2	YES
121 medic	2	SUSPECT
1075 kirtland	2	YES
539 medic	2	SUSPECT
149 medic	2	SUSPECT
1552 alameda	2	YES
12506 at	2	YES
2113 richland	2	YES
17886 beach	2	YES
146 d	2	SUSPECT
15003 madison	2	YES
2021 edgewater	2	YES
1650 orchard	2	YES
2094 for	2	YES
722 copy	2	SUSPECT
2027 no	2	YES
2022 nissan	2	YES
1738 lake	2	YES
1633 alameda	2	YES
13743 madison	2	YES
511 for	2	SUSPECT
2222 detroit	2	YES
1495 elmwood	2	YES
1266 for	2	YES
1265 beach	2	YES
3201 madison	2	SUSPECT
1551 alameda	2	YES
415 disregard	2	SUSPECT
1997 05	2	YES
1207 warren	2	YES
2026 18	2	YES
6180 brown	2	SUSPECT
29107 on	2	SUSPECT
365 in	2	SUSPECT
800 bets	2	SUSPECT
116 henry	2	SUSPECT
100 16	2	SUSPECT
303 officers	2	SUSPECT
2026 he's	2	YES
1180 black	2	YES
54165 brown	2	SUSPECT
1532 hopkins	2	YES
1001 for	2	YES
1998 05	2	YES
1969 from	2	YES
104 all	2	SUSPECT
1519 ridgewood	2	YES
1638 wagar	2	YES
2152 brown	2	YES
1318 frye	2	YES
1549 rockaway	2	YES
117 number	2	SUSPECT
15713 detroit	2	YES
1216 at	2	YES
2203 clifton	2	YES
15105 detroit	2	YES
162 chesterland	2	SUSPECT
2026 25	2	YES
232 bed	2	SUSPECT
29117 for	2	SUSPECT
2212 bunts	2	YES
1437 westwood	2	YES
117 but	2	SUSPECT
1399 the	2	YES
14624 clifton	2	YES
1423 rio	2	YES
100 in	2	SUSPECT
14051 madison	2	YES
17511 daleview	2	YES
400 6	2	SUSPECT
1276 overlook	2	YES
220 1	2	SUSPECT
104 white	2	SUSPECT
1981 44	2	YES
202 have	2	SUSPECT
1989 05	2	YES
2026 it's	2	YES
990 west	2	SUSPECT
12210 detroit	2	YES
1462 olivewood	2	YES
1650 alameda	2	YES
134 sick	2	SUSPECT
503 cohassett	2	SUSPECT
12284 41	2	YES
4130 brown	2	SUSPECT
14313 delaware	2	YES
2019 copy	2	YES
108 do	2	SUSPECT
18183 clifton	2	YES
1503 winchester	2	YES
17100 madison	2	YES
2020 wascana	2	YES
3531 detroit	2	SUSPECT
1922 madison	2	YES
15319 detroit's	2	YES
430 6	2	SUSPECT
130 for	2	SUSPECT
501 medic	2	SUSPECT
1486 woodward	2	YES
2026 it	2	YES
600 west	2	SUSPECT
2005 21	2	YES
1422 northland	2	YES
911 that	2	SUSPECT
1200 black	2	YES
11731 lake	2	YES
12227 there's	2	YES
16720 lake	2	YES
104 17	2	SUSPECT
1357 at	2	YES
1044 you	2	YES
2024 station	2	YES
8171 black	2	SUSPECT
125 or	2	SUSPECT
14923 edgewater	2	YES
141 17	2	SUSPECT
13315 straight	2	YES
5207 madison	2	SUSPECT
17306 madison	2	YES
104 20	2	SUSPECT
14233 garfield	2	YES
2007 lexus	2	YES
200 000	2	SUSPECT
1329 warren	2	YES
1600 westmont	2	YES
2174 elbur	2	YES
14800 medic	2	YES
16400 madison	2	YES
3229 madison	2	SUSPECT
14760 athens	2	YES
104 19	2	SUSPECT
2027 56	2	YES
417 disregard	2	SUSPECT
381 bunts	2	SUSPECT
729 you	2	SUSPECT
2018 dark	2	YES
1129 medic	2	YES
906 for	2	SUSPECT
14505 athens	2	YES
1578 reach	2	YES
1106 for	2	YES
16505 lake	2	YES
104 come	2	SUSPECT
2026 registered	2	YES
150 759	2	SUSPECT
6407 detroit	2	SUSPECT
908 beach	2	SUSPECT
1462 woodward	2	YES
107 mileage	2	SUSPECT
1055 nicholson	2	YES
204 bed	2	SUSPECT
2004 05	2	YES
1019 for	2	YES
14328 delaware	2	YES
61224 black	2	SUSPECT
2023 volkswagen	2	YES
12034 clifton	2	YES
2168 clearance	2	YES
2109 riverside	2	YES
4251 west	2	SUSPECT
18200 flown	2	YES
13610 detroit	2	YES
2025 buick	2	YES
104 engine	2	SUSPECT
1449 truck	2	YES
1359 elbur	2	YES
1825 lake	2	YES
1292 code	2	YES
1500 victoria	2	YES
206 it's	2	SUSPECT
600 detroit	2	SUSPECT
5412 detroit	2	SUSPECT
2025 mitsubishi	2	YES
2025 jeep	2	YES
1431 riverside	2	YES
1574 for	2	YES
1574 medic	2	YES
1535 parkwood	2	YES
2153 lakeland	2	YES
128 at	2	SUSPECT
16016 madison	2	YES
2083 warren	2	YES
17437 shaw	2	YES
422 for	2	SUSPECT
422 medic	2	SUSPECT
1473 wyandotte	2	YES
679 dover	2	SUSPECT
2033 halsted	2	YES
1245 bonny	2	YES
2011 mazda	2	YES
2027 the	2	YES
17844 lake	2	YES
1657 elmwood	2	YES
667 1667	2	SUSPECT
603 they	2	SUSPECT
14237 athens	2	YES
204 kufner	2	SUSPECT
1650 waterbury	2	YES
10414 you	2	SUSPECT
29117 detroit	2	SUSPECT
2027 showing	2	YES
1975 51	2	YES
100 1	2	SUSPECT
211 for	2	SUSPECT
215 at	2	SUSPECT
104 we'll	2	SUSPECT
1299 chase	2	YES
9180 brown	2	SUSPECT
14117 clifton	2	YES
15555 hilliard	2	YES
250 copy	2	SUSPECT
13711 madison	2	YES
1494 ridgewood	2	YES
104 29	2	SUSPECT
12518 number	2	YES
1383 bonny	2	YES
104 was	2	SUSPECT
10412 you	2	SUSPECT
329 on	2	SUSPECT
1480 copy	2	YES
3217 and	2	SUSPECT
152 run	2	SUSPECT
2199 lincoln	2	YES
112 from	2	SUSPECT
10415 disregard	2	SUSPECT
15111 clifton	2	YES
1447 clifton	2	YES
15703 lake	2	YES
1632 cohassett	2	YES
1282 hurd	2	YES
15645 madison	2	YES
2007 19	2	YES
215 check	2	SUSPECT
736 for	2	SUSPECT
9155 brown	2	SUSPECT
2121 morrison	2	YES
2159 alger	2	YES
1636 parkwood	2	YES
1477 riverside	2	YES
215 17	2	SUSPECT
2027 63	2	YES
3120 brown	2	SUSPECT
1445 cohassett	2	YES
151 please	2	SUSPECT
1250 beach	2	YES
1287 donald	2	YES
15602 detroit	2	YES
1464 lakeland	2	YES
12951 for	2	YES
1643 elmwood	2	YES
15117 detroit	2	YES
1612 northland	2	YES
117 do	2	SUSPECT
2152 elbur	2	YES
12006 edgewater	2	YES
268 copy	2	SUSPECT
130 first	2	SUSPECT
1599 waterbury	2	YES
104 station	2	SUSPECT
13385 madison	2	YES
1535 lauderdale	2	YES
1251 saint	2	YES
1633 cordova	2	YES
1541 parkwood	2	YES
1437 lakeland	2	YES
1436 woodward	2	YES
1476 ridgewood	2	YES
226 2	2	SUSPECT
13900 room	2	YES
2010 brown	2	YES
18140 clifton	2	YES
1347 lakewood	2	YES
1236 nicholson	2	YES
1468 woodward	2	YES
2027 she's	2	YES
300 298	2	SUSPECT
3708 madison	2	SUSPECT
1614 waterbury	2	YES
15634 lakewood	2	YES
20729 woodstock	2	SUSPECT
1233 virginia	2	YES
229 okay	2	SUSPECT
1285 west	2	YES
502 property	2	SUSPECT
17770 riverside	2	YES
1331 arlington	2	YES
12015 cluster	2	YES
2190 brown	2	YES
1389 giel	2	YES
2254 warren	2	YES
1531 warren	2	YES
1256 marlowe	2	YES
15300 clifton	2	YES
2115 lewis	2	YES
811 for	2	SUSPECT
1221 virginia	2	YES
17443 woodford	2	YES
14323 madison	2	YES
12600 berea	2	YES
1200 through	2	YES
15010 hilliard	2	YES
1497 lauderdale	2	YES
